close,high,low,open,time,volume,timestamp
0.0,0.0,0.0,0.0,1776168000,,2026-04-14 12:00:00+00:00
0.0,0.0,0.0,0.0,1776171600,,2026-04-14 13:00:00+00:00
0.0,0.0,0.0,0.0,1776175200,,2026-04-14 14:00:00+00:00
0.0,0.0,0.0,0.0,1776178800,,2026-04-14 15:00:00+00:00
0.45,0.45,0.0,0.0,1776182400,,2026-04-14 16:00:00+00:00
2.52,2.52,0.45,0.45,1776186000,,2026-04-14 17:00:00+00:00
0.45,2.52,0.45,2.52,1776189600,,2026-04-14 18:00:00+00:00
0.45,0.45,0.45,0.45,1776193200,,2026-04-14 19:00:00+00:00
4.54,4.54,0.45,0.45,1776196800,,2026-04-14 20:00:00+00:00
4.54,4.54,4.54,4.54,1776200400,,2026-04-14 21:00:00+00:00
4.54,4.54,4.54,4.54,1776204000,,2026-04-14 22:00:00+00:00
0.45,4.54,0.45,4.54,1776207600,,2026-04-14 23:00:00+00:00
0.45,0.45,0.45,0.45,1776211200,,2026-04-15 00:00:00+00:00
0.45,0.45,0.45,0.45,1776214800,,2026-04-15 01:00:00+00:00
0.45,0.45,0.45,0.45,1776218400,,2026-04-15 02:00:00+00:00
0.45,0.45,0.45,0.45,1776222000,,2026-04-15 03:00:00+00:00
0.45,0.45,0.45,0.45,1776225600,,2026-04-15 04:00:00+00:00
0.45,0.45,0.45,0.45,1776229200,,2026-04-15 05:00:00+00:00
0.45,0.45,0.45,0.45,1776232800,,2026-04-15 06:00:00+00:00
0.45,0.45,0.45,0.45,1776236400,,2026-04-15 07:00:00+00:00
0.45,0.45,0.45,0.45,1776240000,,2026-04-15 08:00:00+00:00
0.45,0.45,0.45,0.45,1776243600,,2026-04-15 09:00:00+00:00
0.6,0.6,0.45,0.45,1776247200,,2026-04-15 10:00:00+00:00
0.6,0.6,0.6,0.6,1776250800,,2026-04-15 11:00:00+00:00
0.71,0.71,0.6,0.6,1776254400,,2026-04-15 12:00:00+00:00
0.71,0.71,0.71,0.71,1776258000,,2026-04-15 13:00:00+00:00
